group,number,index,name,WATER,CHOAVLM,STARCH,GLUS,FRUS,GALS,SUCS,MALS,LACS,TRES,CHOAVL,SORTL,MANTL,
1,1171,28,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター,65.5,-30.3,-27.4,(Tr),-,-,-0.1,(Tr),-,-,-27.6,-,-,"天ぷら粉39、水61
 01025プレミックス粉天ぷら用から推計"
1,1026,30,こむぎ ［パン類］ 角形食パン 食パン,39.2,48.2,38.9,1.5,2.2,-,0,1.3,0.2,0.1,44.2,0,-,
1,1174,31,こむぎ ［パン類］ 角形食パン 焼き,33.6,52.1,42.5,1.5,2.4,-,-,1.4,-,-,47.8,-,-,
1,1175,32,こむぎ ［パン類］ 角形食パン 耳を除いたもの,44.2,43.9,35.7,1.4,2,-,0,1.2,-,-,40.2,-,-,※ 耳の割合： 45 %、耳以外の割合 : 55 %
1,1028,37,こむぎ ［パン類］ コッペパン,30.6,53.9,41.4,2.5,3.1,-,0.7,1.7,-,0.2,49.6,Tr,0,イソマルトース： 0g
1,1213,1937-1,こむぎ ［パン類］ バンズ,32.9,51.2,40.6,2.5,3.3,-,0.3,0.2,0.1,0.2,47.1,-,-,
1,1030,38,こむぎ ［パン類］ 乾パン,5.5,-82.2,-71,(Tr),(Tr),0,-3.2,-0.1,-0.5,-0.1,-74.9,0,0,原材料配合割合から推計
1,1031,39,こむぎ ［パン類］ フランスパン,30,63.9,56.3,Tr,-,-,0,1.8,-,-,58.2,-,-,
1,1034,43,こむぎ ［パン類］ ロールパン,30.7,49.7,39.1,1.8,2.7,-,0.2,1.3,0.4,0.2,45.7,Tr,-,
1,1036,47,こむぎ ［パン類］ イングリッシュマフィン,46,-40.1,-33.7,-0.5,-0.7,0,(Tr),-1.8,(Tr),0,-36.7,-,-,英国成分表から推計
1,1037,48,こむぎ ［パン類］ ナン,37.2,-45.6,-38.8,-0.6,-0.7,0,(Tr),-1.1,-0.3,0,-41.6,-,-,英国成分表から推計
1,1148,49,こむぎ ［パン類］ ベーグル,32.3,50.3,40.9,0.8,1.2,-,0.3,2.5,0,0.3,46,Tr,-,
1,1038,50,こむぎ ［うどん・そうめん類］ うどん 生,33.5,55,48.2,0.2,0.2,-,0.2,1.4,0,0,50.1,Tr,-,きしめん、ひもかわを含む
1,1039,51,こむぎ ［うどん・そうめん類］ うどん ゆで,75,21.4,19,Tr,Tr,-,Tr,0.3,0,0,19.5,0,-,きしめん、ひもかわを含む
1,1186,52,こむぎ ［うどん・そうめん類］ うどん 半生うどん,23.8,-63,-55.2,-0.3,-0.2,-,-0.2,-1.6,0,0,-57.4,-0.1,-,01038うどん生から推計
1,1041,53,こむぎ ［うどん・そうめん類］ 干しうどん 乾,13.5,-76.8,-69.5,(Tr),(Tr),-,-0.2,-0.1,0,0,-69.9,-,-,01038うどん生から推計
1,1042,54,こむぎ ［うどん・そうめん類］ 干しうどん ゆで,70,-26.7,-24.1,0,(Tr),-,-0.1,(Tr),0,0,-24.2,-,-,01039うどんゆでから推計
1,1043,55,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ 乾,12.5,71.5,62.4,0.1,-,-,0.2,2.4,0,0,65.1,0,-,
1,1044,56,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ ゆで,70,25.6,22.9,0,-,-,Tr,0.4,0,0,23.3,0,-,
1,1045,57,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ 乾,14,69.7,60.7,0.1,0.1,0,0.2,2.5,0,-,63.5,-,-,
1,1046,58,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ ゆで,70,-24.3,-21.2,(Tr),(Tr),0,-0.1,-0.9,0,-,-22.2,-,-,01045手延そうめん乾から推計
1,1047,59,こむぎ ［中華めん類］ 中華めん 生,33,52.2,46.3,Tr,0,-,0.1,0.9,-,0.3,47.6,0.1,-,
1,1048,60,こむぎ ［中華めん類］ 中華めん ゆで,65,27.7,24.9,Tr,0,-,Tr,0.1,-,0.1,25.2,Tr,-,
1,1187,61,こむぎ ［中華めん類］ 半生中華めん,23.7,-59.5,-52.7,(Tr),0,-,-0.1,-1,-,-0.3,-54.2,-0.2,-,01047中華めん生から推計
1,1049,62,こむぎ ［中華めん類］ 蒸し中華めん 蒸し中華めん,57.4,33.6,30.2,Tr,0,-,0.1,0.2,0,0,30.6,0.2,-,
1,1188,63,こむぎ ［中華めん類］ 蒸し中華めん ソテー,50.4,39.4,35.5,Tr,0,-,0.1,0.3,-,0,35.9,0.2,-,
1,1050,64,こむぎ ［中華めん類］ 干し中華めん 乾,14.7,71.4,63.6,Tr,Tr,-,0.2,1.2,0,0,65,0,-,
1,1051,65,こむぎ ［中華めん類］ 干し中華めん ゆで,66.8,28,25.1,Tr,0,-,Tr,0.3,0,0,25.4,0,-,
1,1052,66,こむぎ ［中華めん類］ 沖縄そば 生,32.3,-52.8,-46.8,(Tr),0,-,-0.1,-0.9,-,-0.3,-48.1,-,-,"別名：沖縄めん
 01047中華めん生から推計"
1,1053,67,こむぎ ［中華めん類］ 沖縄そば ゆで,65.5,-27.3,-24.5,(Tr),0,-,(Tr),-0.1,-,-0.1,-24.8,-,-,"別名：沖縄めん
 01048中華めんゆでから推計"
1,1054,68,こむぎ ［中華めん類］ 干し沖縄そば 乾,13.7,-67.3,-59.6,(Tr),0,-,-0.1,-1.1,-,-0.3,-61.3,-,-,"別名：沖縄めん
 01047中華めん生から推計"
1,1055,69,こむぎ ［中華めん類］ 干し沖縄そば ゆで,65,-27.7,-24.9,(Tr),0,-,(Tr),-0.1,-,-0.1,-25.2,-,-,"別名：沖縄めん
 01048中華めんゆでから推計"
1,1056,70,こむぎ ［即席めん類］ 即席中華めん 油揚げ味付け,2,63,56.5,Tr,0,-,0.7,0.2,-,0,57.3,0.1,-,"別名： インスタントラーメン
 添付調味料等を含む"
1,1057,71,こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含むもの）,3,-60.4,-54.1,(Tr),0,-,-0.6,-0.2,0,0,-54.9,-0.1,-,"別名： インスタントラーメン
 調理前のもの、添付調味料等を含む
 可食部(100g)から脂質量(g)を差し引いた部分について01056即席中華めん油揚げ味付けから推計"
1,1198,72,こむぎ ［即席めん類］ 即席中華めん 油揚げ 調理後全体 （添付調味料等を含むもの）,78.5,-13.4,-12,(Tr),0,-,-0.1,(Tr),0,0,-12.2,0,-,"添付調味料等を含む
 01057即席中華めん、油揚げ、乾から再推計"
1,1189,73,こむぎ ［即席めん類］ 即席中華めん 油揚げ ゆで （添付調味料等を含まないもの）,59.8,28.7,25.8,0,0,-,0.1,0.3,-,0,26.1,0,-,添付調味料等を含まない
1,1144,74,こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含まないもの）,3.7,65.2,58.2,Tr,Tr,-,0.2,0.9,-,0,59.3,0,-,調理前のもの、添付調味料等を除く
1,1058,75,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含むもの）,10,-65.7,-58.9,(Tr),0,-,-0.7,-0.2,0,0,-59.8,-0.1,-,"別名： インスタントラーメン
 調理前のもの、添付調味料等を含む
 可食部(100g)から脂質量(g)を差し引いた部分について01056即席中華めん油揚げ味付けから推計"
1,1199,76,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 調理後全体 （添付調味料等を含むもの）,76.2,-17.4,-15.6,(Tr),0,-,-0.2,-0.1,0,0,-15.8,0,-,"添付調味料等を含む
 01058即席中華めん、非油揚げ、乾から再推計"
1,1190,77,こむぎ ［即席めん類］ 即席中華めん 非油揚げ ゆで （添付調味料等を含まないもの）,63.9,29.2,26.4,Tr,0,-,0.1,0.1,-,0.1,26.6,0,-,添付調味料等を含まない
1,1145,78,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含まないもの）,10.7,74.4,66.8,0.1,Tr,-,0.2,0.2,-,0.3,67.7,0,-,調理前のもの、添付調味料等を除く
1,1193,79,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 乾 （添付調味料等を含むもの）,5.3,57,48.3,1.7,0.3,-,0.9,0.9,-,0,52.1,0.2,-,調理前のもの、添付調味料等を含む
1,1201,80,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後全体 （添付調味料等を含むもの）,79.8,-3.8,-3.2,-0.1,(Tr),-,-0.1,-0.1,-,0,-3.5,(Tr),-,"添付調味料等を含む
 01193中華スタイル即席カップめん、油揚げ、塩味、乾より推計"
1,1194,81,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後のめん （スープを残したもの）,62,24.9,22.1,0.2,Tr,-,0.1,0.2,-,0,22.7,Tr,-,添付調味料等を含む
1,1191,82,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 乾 （添付調味料等を含むもの）,9.7,54.7,47.7,0.3,0.1,-,1,0.7,-,0,49.8,0.2,-,調理前のもの、添付調味料等を含む
1,1200,83,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後全体 （添付調味料等を含むもの）,80.8,-6.6,-5.7,(Tr),(Tr),-,-0.1,-0.1,-,0,-6,(Tr),-,"添付調味料等を含む
 01191中華スタイル即席カップめん、油揚げ、しょうゆ味、乾より推計"
1,1192,84,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後のめん （スープを残したもの）,69.1,18.3,16.3,Tr,Tr,-,0.1,0.1,-,0,16.7,Tr,-,添付調味料等を含む
1,1060,85,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 乾 （添付調味料等を含むもの）,11.1,59.4,47.3,2.6,0.9,-,2.9,0.7,-,0,54.5,0.1,-,"別名： カップ焼きそば
 調理前のもの、添付調味料等を含む"
1,1202,86,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 調理後全体 （添付調味料等を含むもの）,53.6,-14.7,-11.7,-0.6,-0.2,-,-0.7,-0.2,-,0,-13.5,(Tr),-,"添付調味料等を含む
 01060中華スタイル即席カップめん、油揚げ、焼きそば、乾より推計"
1,1061,87,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 乾 （添付調味料等を含むもの）,15.2,59.5,51.2,1.1,0.2,-,1.3,0.4,-,0.1,54.3,0.1,-,"別名： カップラーメン
 調理前のもの、添付調味料等を含む"
1,1203,88,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後全体 （添付調味料等を含むもの）,83.5,-13.3,-11.5,-0.3,(Tr),-,-0.3,-0.1,-,(Tr),-12.2,(Tr),-,"添付調味料等を含む
 01061中華スタイル即席カップめん、非油揚げ、乾より推計"
1,1195,89,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後のめん （スープを残したもの）,68.8,25.7,22.9,0.1,Tr,-,0.2,0.1,-,Tr,23.4,0,-,添付調味料等を含む
1,1062,90,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 乾 （添付調味料等を含むもの）,6.2,58.1,48.2,0.2,0.1,-,4,0.6,-,0,53,0.3,-,"別名： カップうどん
 調理前のもの、添付調味料等を含む"
1,1204,91,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後全体 （添付調味料等を含むもの）,80.5,-7.3,-6.1,(Tr),(Tr),-,-0.5,-0.1,-,0,-6.7,(Tr),-,"添付調味料等を含む
 01062和風スタイル即席カップめん、油揚げ、乾より推計"
1,1196,92,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後のめん （スープを残したもの）,64.4,23.3,20.6,Tr,0,-,0.4,0.2,-,0,21.2,Tr,-,添付調味料等を含む
1,1063,93,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ 乾,11.3,73.4,64.1,0.1,0.1,0,0.4,2.3,0,-,66.9,-,-,
1,1064,94,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ゆで,60,31.3,27.9,Tr,Tr,-,0.1,0.5,0,-,28.5,-,-,1.5 %食塩水でゆでた場合
1,1149,96,こむぎ ［マカロニ・スパゲッティ類］ 生パスタ 生,42,46.1,36.9,0.2,0.1,-,0.1,4.7,-,0.2,42.2,0,-,デュラム小麦100 %以外のものも含む
1,1070,102,こむぎ ［その他］ 小麦はいが,3.6,29.6,15.6,0,0,-,11.8,Tr,0,-,27.5,-,-,試料： 焙焼品
1,1074,107,こむぎ ［その他］ ぎょうざの皮 生,32,-60.4,-54.6,(Tr),(Tr),-,-0.2,-0.1,0,0,-54.9,-,-,01018中力粉1等から推計
1,1075,108,こむぎ ［その他］ しゅうまいの皮 生,31.1,-61.2,-55.3,(Tr),(Tr),-,-0.2,-0.1,0,0,-55.7,-,-,01018中力粉1等から推計
1,1076,111,こむぎ ［その他］ ピザ生地,35.3,-53.2,-45.5,-0.3,-0.3,-,(Tr),-2.5,(Tr),-,-48.5,-,-,"別名： ピザクラスト
 英国成分表から推計"
1,1077,113,こむぎ ［その他］ パン粉 生,35,-51.5,-41.6,-1.6,-2.4,-,0,-1.4,-0.2,-0.1,-47.2,-,-,01026食パンから推計
1,1078,114,こむぎ ［その他］ パン粉 半生,26,-58.6,-47.4,-1.8,-2.7,-,0,-1.6,-0.2,-0.1,-53.8,-,-,01026食パンから推計
1,1079,115,こむぎ ［その他］ パン粉 乾燥,11.9,68.6,60.2,Tr,0.1,-,0,2.1,-,0.1,62.5,0,-,イソマルトース： 0g
1,1150,116,こむぎ ［その他］ 冷めん 生,36.4,57.6,50.7,Tr,0,-,0.1,1.6,-,0,52.4,Tr,-,
1,1080,117,こめ ［水稲穀粒］ 玄米,14.9,78.4,70.5,Tr,Tr,0,0.8,0,0,0,71.3,-,-,うるち米
1,1081,118,こめ ［水稲穀粒］ 半つき米,14.9,81.5,73.6,Tr,Tr,-,0.4,0,0,0,74.1,-,-,"うるち米
 歩留り： 95～96 %"
1,1082,119,こめ ［水稲穀粒］ 七分つき米,14.9,83.3,75.4,Tr,Tr,-,0.3,0,0,0,75.8,-,-,"うるち米
 歩留り： 92～94 %"
1,1083,120,こめ ［水稲穀粒］ 精白米 うるち米,14.9,83.1,75.4,0,0,0,0.2,0,0,0,75.6,-,-,"うるち米
 歩留り： 90～91 %"
1,1151,121,こめ ［水稲穀粒］ 精白米 もち米,14.9,77.6,70.3,0,-,-,0.3,0,0,0,70.5,0,-,歩留り： 90～91 %
1,1152,122,こめ ［水稲穀粒］ 精白米 インディカ米,13.7,80.3,72.9,0,0,0,Tr,0,-,-,73,-,-,"うるち米 
 歩留り： 90～91 %"
1,1084,123,こめ ［水稲穀粒］ はいが精米,14.9,79.4,71.5,Tr,0,-,0.6,0,0,0,72.2,-,-,"うるち米
 歩留り： 91～93 %"
1,1153,124,こめ ［水稲穀粒］ 発芽玄米,14.9,76.2,68.8,0.1,Tr,-,0.4,0,0,0,69.3,-,-,うるち米
1,1181,125,こめ ［水稲穀粒］ 赤米,14.6,71.6,64.1,Tr,Tr,-,1,0,-,-,65.2,Tr,-,
1,1182,126,こめ ［水稲穀粒］ 黒米,15.2,72.3,64.7,0.1,Tr,-,1,0,-,-,65.7,0,-,
1,1085,127,こめ ［水稲めし］ 玄米,60,35.1,30.9,0.2,0.1,-,0.8,Tr,0,0,32,-,-,"うるち米
 玄米47 g相当量を含む"
1,1086,128,こめ ［水稲めし］ 半つき米,60,36.8,33.1,0.2,Tr,-,0.2,0,0,0,33.5,-,-,"うるち米
 半つき米47 g相当量を含む"
1,1087,129,こめ ［水稲めし］ 七分つき米,60,36.8,33.2,0.1,Tr,-,0.1,0,0,0,33.5,-,-,"うるち米
 七分つき米47 g相当量を含む"
1,1168,130,こめ ［水稲めし］ 精白米 インディカ米,54,41,37.3,0.1,0,0,0,0,-,-,37.3,-,-,精白米51 g相当量を含む
1,1088,131,こめ ［水稲めし］ 精白米 うるち米,60,38.1,34.5,0.1,0,-,Tr,0,0,0,34.6,-,-,精白米47 g相当量を含む
1,1154,132,こめ ［水稲めし］ 精白米 もち米,52.1,45.6,41.4,0.1,-,-,Tr,0,0,0,41.5,0,-,精白米55 g相当量を含む
1,1089,133,こめ ［水稲めし］ はいが精米,60,37.9,34.2,0.1,0,-,0.2,0,0,0,34.5,-,-,"うるち米
 はいが精白米47 g相当量を含む"
1,1155,134,こめ ［水稲めし］ 発芽玄米,60,33.2,30,0.1,0,-,0.2,0,0,0,30.2,-,-,"うるち米
 発芽玄米47 g相当量を含む"
1,1183,135,こめ ［水稲めし］ 赤米,61.3,31,27.7,Tr,Tr,-,0.4,-,-,-,28.2,0,-,
1,1184,136,こめ ［水稲めし］ 黒米,62,30.9,27.7,0.1,Tr,-,0.3,-,-,-,28.2,-,-,
1,1185,137,こめ ［水稲軟めし］ 精白米,71.5,-27.1,-24.6,-0.1,0,-,(Tr),0,0,0,-24.7,-,-,01088水稲めしうるち米から推計
1,1090,138,こめ ［水稲全かゆ］ 玄米,83,-14.9,-13.1,-0.1,(Tr),-,-0.3,0,0,0,-13.6,-,-,"うるち米
 5倍かゆ
 玄米20 g相当量を含む
 01085水稲めし玄米から推計"
1,1091,139,こめ ［水稲全かゆ］ 半つき米,83,-15.7,-14.1,-0.1,0,-,-0.1,0,0,0,-14.2,-,-,"うるち米
 5倍かゆ
 半つき米20 g相当量を含む
 01086水稲めし半つき米から推計"
1,1092,140,こめ ［水稲全かゆ］ 七分つき米,83,-15.6,-14.1,-0.1,0,-,(Tr),0,0,0,-14.2,-,-,"うるち米
 5倍かゆ
 七分つき米20 g相当量を含む
 01087水稲めし七分つき米から推計"
1,1093,141,こめ ［水稲全かゆ］ 精白米,83,-16.2,-14.7,(Tr),0,-,0,0,0,0,-14.7,-,-,"うるち米
 5倍かゆ
 精白米20 g相当量を含む
 01088水稲めし精白米うるち米から推計"
1,1094,142,こめ ［水稲五分かゆ］ 玄米,91.5,-7.5,-6.6,(Tr),(Tr),-,-0.2,0,0,0,-6.8,-,-,"うるち米
 10倍かゆ
 玄米10 g相当量を含む
 01085水稲めし玄米から推計"
1,1095,143,こめ ［水稲五分かゆ］ 半つき米,91.5,-7.8,-7,(Tr),0,-,(Tr),0,0,0,-7.1,-,-,"うるち米
 10倍かゆ
 半つき米10 g相当量を含む
 01086水稲めし半つき米から推計"
1,1096,144,こめ ［水稲五分かゆ］ 七分つき米,91.5,-7.8,-7.1,(Tr),0,-,(Tr),0,0,0,-7.1,-,-,"うるち米
 10倍かゆ
 七分つき米10 g相当量を含む
 01087水稲めし七分つき米から推計"
1,1097,145,こめ ［水稲五分かゆ］ 精白米,91.5,-8.1,-7.3,(Tr),0,-,0,0,0,0,-7.4,-,-,"うるち米
 10倍かゆ
 精白米10 g相当量を含む
 01088水稲めし精白米うるち米から推計"
1,1098,146,こめ ［水稲おもゆ］ 玄米,95,-4.4,-3.9,(Tr),0,-,-0.1,0,0,0,-4,-,-,"うるち米
 弱火で加熱、ガーゼでこしたもの
 玄米6 g相当量を含む
 01085水稲めし玄米から推計"
1,1099,147,こめ ［水稲おもゆ］ 半つき米,95,-4.6,-4.1,(Tr),0,-,(Tr),0,0,0,-4.2,-,-,"うるち米
 弱火で加熱、ガーゼでこしたもの
 半つき米6 g相当量を含む
 01086水稲めし半つき米から推計"
1,1100,148,こめ ［水稲おもゆ］ 七分つき米,95,-4.6,-4.2,(Tr),0,-,(Tr),0,0,0,-4.2,-,-,"うるち米
 弱火で加熱、ガーゼでこしたもの
 七分つき米6 g相当量を含む
 01087水稲めし七分つき米から推計"
1,1101,149,こめ ［水稲おもゆ］ 精白米,95,-4.8,-4.3,(Tr),0,-,0,0,0,0,-4.3,-,-,"うるち米
 弱火で加熱、ガーゼでこしたもの
 精白米6 g相当量を含む
 01088水稲めし精白米うるち米から推計"
1,1102,150,こめ ［陸稲穀粒］ 玄米,14.9,-78.4,-70.5,(Tr),(Tr),0,-0.8,0,0,0,-71.3,-,-,"うるち、もちを含む
 01080水稲穀粒玄米から推計"
1,1103,151,こめ ［陸稲穀粒］ 半つき米,14.9,-81.5,-73.6,(Tr),(Tr),-,-0.4,0,0,0,-74.1,-,-,"うるち、もちを含む
 歩留り： 95～96 %
 01081水稲穀粒半つき米から推計"
1,1104,152,こめ ［陸稲穀粒］ 七分つき米,14.9,-83.3,-75.4,(Tr),(Tr),-,-0.3,0,0,0,-75.8,-,-,"うるち、もちを含む
 歩留り： 93～94 %
 01082水稲穀粒七分つき米から推計"
1,1105,153,こめ ［陸稲穀粒］ 精白米,14.9,-77.6,-70.3,0,-,-,-0.3,0,0,0,-70.5,-,-,"うるち、もちを含む
 歩留り： 90～92 %
 01083水稲穀粒精白米うるち米から推計"
1,1106,154,こめ ［陸稲めし］ 玄米,60,-35.1,-30.9,-0.2,-0.1,-,-0.8,(Tr),0,0,-32,-,-,"うるち、もちを含む
 玄米47 g相当量を含む
 01085水稲めし玄米から推計"
1,1107,155,こめ ［陸稲めし］ 半つき米,60,-36.8,-33.1,-0.2,(Tr),-,-0.2,0,0,0,-33.5,-,-,"うるち、もちを含む
 半つき米47 g相当量を含む
 01086水稲めし半つき米から推計"
1,1108,156,こめ ［陸稲めし］ 七分つき米,60,-36.8,-33.2,-0.1,(Tr),-,-0.1,0,0,0,-33.5,-,-,"うるち、もちを含む
 七分つき米47 g相当量を含む
 01087水稲めし七分つき米から推計"
1,1109,157,こめ ［陸稲めし］ 精白米,60,-38.1,-34.5,-0.1,0,-,(Tr),0,0,0,-34.6,-,-,"うるち、もちを含む
 精白米47 g相当量を含む
 01088水稲めし精白米うるち米から推計"
1,1110,158,こめ ［うるち米製品］ アルファ化米 一般用,7.9,87.6,79.5,Tr,0,0,Tr,0,0,0,79.6,-,-,
1,1156,159,こめ ［うるち米製品］ アルファ化米 学校給食用強化品,7.9,-87.6,-79.5,(Tr),0,0,(Tr),0,0,0,-79.6,-,-,01110アルファ化米、一般用と同値
1,1214,0159-1,こめ ［うるち米製品］ 水稲全かゆ レトルト 玄米,88,10,8.9,0,0,-,0.1,0,-,0,9.1,0,-,"食塩無添加品
 イソマルトース： 0 g"
1,1215,0159-2,こめ ［うるち米製品］ 水稲全かゆ レトルト 精白米,90.7,9,8.1,0,0,-,0,0,-,0,8.2,0,-,"食塩無添加品
 イソマルトース： 0 g"
1,1111,160,こめ ［うるち米製品］ おにぎり,57,39.7,36,Tr,0,-,0,0,0,0,36.1,-,-,"塩むすび（のり、具材なし）
 食塩0.5 gを含む"
1,1112,161,こめ ［うるち米製品］ 焼きおにぎり,56,-40.6,-36.9,(Tr),0,-,0,0,0,0,-36.9,-,-,"こいくちしょうゆ6.5 gを含む
 01111おにぎりから推計"
1,1113,162,こめ ［うるち米製品］ きりたんぽ,50,-46.1,-41.9,-0.1,0,-,0,0,0,0,-41.9,-,-,01111おにぎりから推計
1,1114,163,こめ ［うるち米製品］ 上新粉,14,83.5,75.8,Tr,-,-,0.1,0,0,0,75.9,-,-,
1,1157,164,こめ ［うるち米製品］ 玄米粉,4.6,84.8,77,0,0,-,0.1,0,0,0,77.1,-,-,焙煎あり
